53 11	490 930 156 636 819 741 530 89 415 18 355 757 811 654 284 758 680 140 440 561 558 960 22 441 395 465 802 921 568 83 385 519 548 333 689 852 32 288 478 614 692 87 190 773 212 940 718 719 183 411 194 992 82 279 161 270 54 782 815 587 547 700 160 936 761 997 473 715 821 924 931 585 72 349 414 549 583 717 331 535 643 181 913 683 290 559 301 846 880 893 434 956 85 902 176 351 220 243 552 919 529 626 576 366 402 131 166 682 42 560 796 188 433 884 17 716 536 207 849 899 996 746 297 545 625 325 454 816 916 631 491 267 363 430 344 965 697 554 449 52 471 338 201 637 369 911 26 627 599 524 744 241 134 66 714 346 392 711 6 178 3 399 185 881 920 805 676 271 546 795 216 901 605 489 969 675 949 602 745 923 938 151 903 44 93 470 81 790 276 875 264 292 432 78 259 431 157 984 879 418 403 652 250 612 230 365 646 955 463 296 199 211 729 92 286 299 722 269 330 461 127 479 256 115 917 699 354 649 497 
68 31	233 701 507 221 410 691 215 8 925 483 492 752 831 144 571 171 764 607 653 513 15 840 632 58 527 629 319 876 48 942 307 792 731 231 621 948 180 526 25 360 65 
64 41	484 98 128 7 531 16 760 781 184 238 544 958 95 998 27 109 206 476 681 380 619 423 735 791 68 125 417 240 12 947 347 807 175 326 21 152 138 582 863 300 638 563 829 116 446 862 975 39 579 119 293 289 834 968 859 780 437 486 928 480 556 710 187 503 826 833 425 900 885 60 734 737 641 897 932 817 376 74 456 223 596 836 723 581 357 214 788 892 75 659 224 525 962 67 907 574 172 841 302 905 978 37 512 883 533 537 882 667 222 914 135 322 335 569 114 9 20 370 597 254 736 611 464 192 342 379 303 106 103 262 455 117 712 706 356 23 553 665 555 785 320 329 146 5 639 208 904 235 314 991 421 460 371 565 613 771 520 404 541 857 389 743 142 205 408 272 580 590 961 669 413 274 46 177 896 727 426 202 396 225 957 59 972 229 339 645 891 912 822 610 812 282 615 570 378 797 624 867 391 390 245 277 56 252 642 671 678 260 994 756 14 922 856 419 567 595 132 443 660 502 315 501 469 842 670 173 933 487 321 47 509 979 412 84 91 108 538 310 889 373 688 963 318 725 910 169 51 420 11 170 79 73 196 578 253 733 864 4 999 798 786 726 724 163 258 31 941 981 952 129 393 543 713 111 851 316 993 165 336 794 451 99 472 668 361 618 593 707 775 604 855 280 143 861 438 312 374 644 153 149 557 584 0 572 808 772 825 261 598 989 623 888 964 973 133 622 442 210 742 770 865 167 273 696 217 830 94 76 809 387 927 266 832 147 950 242 126 755 779 709 534 364 789 281 327 951 328 748 104 858 532 767 684 966 672 136 38 118 193 518 679 577 860 62 854 186 462 655 475 589 197 763 340 929 96 428 424 10 255 990 40 466 753 305 877 439 562 511 409 586 616 226 986 249 828 732 309 
16 98	747 838 123 648 450 257 918 762 515 564 
84 57	422 198 164 482 783 110 575 381 650 698 234 776 416 853 720 657 499 906 63 647 244 943 398 848 247 13 97 102 375 444 628 935 820 664 397 871 793 159 813 592 540 878 35 656 64 869 804 730 334 191 407 324 445 823 508 57 769 400 377 839 362 168 195 523 521 847 368 488 566 145 154 353 801 516 630 663 765 510 86 458 285 348 971 890 182 71 251 495 751 517 987 908 239 158 498 148 721 481 200 69 317 155 673 609 112 800 494 806 694 2 477 695 459 383 799 447 686 873 343 768 139 485 298 467 866 777 43 141 690 45 651 130 
29 9	474 121 835 506 124 394 203 468 778 179 939 
84 28	174 617 236 810 248 448 887 845 204 350 306 294 988 774 870 844 505 985 970 514 24 406 352 263 228 90 872 754 388 662 601 739 232 982 504 983 603 213 750 218 539 573 33 898 827 980 895 265 427 311 954 429 868 666 80 100 107 787 528 77 150 367 29 227 803 740 401 620 937 658 
26 55	74 886 246 934 953 915 101 237 959 
34 91	122 944 457 591 974 120 824 88 278 784 55 30 640 705 308 995 137 358 345 453 551 384 359 295 635 209 34 372 268 435 
45 4	967 50 386 874 219 500 382 926 41 436 633 28 323 291 313 728 405 
97 95	113 837 909 634 850 674 759 843 304 749 550 661 189 600 493 814 
15 11	162 332 287 49 452 36 
20 46	542 687 1 19 337 677 608 818 704 766 341 685 496 702 105 
19 14	703 
89 94	693 
10 13	606 
69 18	522 
67 74	283 
78 2	70 
55 16	588 
44 85	61 
49 59	784 
67 6	894 
15 54	53 
23 29	738 
5 47	977 
84 80	275 
37 54	708 
15 61	976 
42 71	594 
